daao_id,daao_url,daao_path
4e9ea85ad707ff2d7b000005,http://www.daao.org.au/bio/max-dupain-1,max-dupain-1
4e9ea85ad707ff2d7b000005,http://www.daao.org.au/bio/max-dupain,max-dupain
4e7b0becd707ff7728000039,http://www.daao.org.au/bio/christian-lock,christian-lock
4da19d1db538b73d9301415f,http://www.daao.org.au/bio/norah-napaljarri-nelson,norah-napaljarri-nelson
4da1c640b538b73d930259ad,http://www.daao.org.au/bio/noel-kenneth-caldwell,noel-kenneth-caldwell
4da19cd8b538b73d93013e56,http://www.daao.org.au/bio/eileen-napanangka,eileen-napanangka
4da198b5b538b73d9300debd,http://www.daao.org.au/bio/geoffrey-raynor-hook,geoffrey-raynor-hook
4da1eb66b538b73d9302ac15,http://www.daao.org.au/bio/jon-cattapan,jon-cattapan
4da1fe7ab538b73d9302c2b6,http://www.daao.org.au/bio/adam-cullen,adam-cullen
51582856d707ff422f001341,http://www.daao.org.au/bio/alice-mary-livesey,alice-mary-livesey
4ee49f66d707ff75d1000005,http://www.daao.org.au/bio/margaret-worth,margaret-worth
4da1a12ab538b73d930173fb,http://www.daao.org.au/bio/freda-rhoda-robertshaw,freda-rhoda-robertshaw
4da19e4fb538b73d930153b6,http://www.daao.org.au/bio/ti-parks,ti-parks
4da1c864b538b73d930264a6,http://www.daao.org.au/bio/parnell-dempster,parnell-dempster
516ce8dad707ff5dee000006,http://www.daao.org.au/bio/neville-gruzman,neville-gruzman
4da1a92eb538b73d9301b028,http://www.daao.org.au/bio/gideon-tjupurrula,gideon-tjupurrula
4da1ce83b538b73d93027586,http://www.daao.org.au/bio/deborah-bonar,deborah-bonar
4da1a5e6b538b73d93019ec3,http://www.daao.org.au/bio/sally-swain,sally-swain
533893f1d707ff7141000004,http://www.daao.org.au/bio/francis-lymburner,francis-lymburner
533893f1d707ff7141000004,http://www.daao.org.au/bio/francis-lymburner-2,francis-lymburner-2
4da19932b538b73d9300ed24,http://www.daao.org.au/bio/john-godschall-johnson,john-godschall-johnson
4da1a417b538b73d93019372,http://www.daao.org.au/bio/april-napaljarri-spencer,april-napaljarri-spencer
515826dcd707ff422f0011f1,http://www.daao.org.au/bio/david-faulkes-taylor,david-faulkes-taylor
515826dcd707ff422f0011f1,http://www.daao.org.au/bio/david-foulkes-taylor,david-foulkes-taylor
4da195f7b538b73d93006803,http://www.daao.org.au/bio/judith-may-chambers,judith-may-chambers
4eb319f6d707ff4ebc000000,http://www.daao.org.au/bio/helen-s-tiernan,helen-s-tiernan
4da1a386b538b73d93018c7f,http://www.daao.org.au/bio/paddy-japaljarri-sims,paddy-japaljarri-sims
50be7fded707ff419f000000,http://www.daao.org.au/bio/djambawa-marawili-1,djambawa-marawili-1
5166aa3cd707ff3537000006,http://www.daao.org.au/bio/gemma-messih,gemma-messih
4e1a688872edc20ab300008b,http://www.daao.org.au/bio/alma-abbakoyok,alma-abbakoyok
4e07ddd272edc23620000000,http://www.daao.org.au/bio/marie-warren,marie-warren
4da1989fb538b73d9300dc8f,http://www.daao.org.au/bio/patrick-hockey,patrick-hockey
51582c24d707ff422f0016a5,http://www.daao.org.au/bio/robert-mckay-thompson,robert-mckay-thompson
4da19581b538b73d930043eb,http://www.daao.org.au/bio/robin-boyd,robin-boyd
5fd2c498d707ff54d9000046,http://www.daao.org.au/bio/kathy-cavaliere,kathy-cavaliere
4da19bdbb538b73d93012856,http://www.daao.org.au/bio/eileen-mayo,eileen-mayo
4e5edc8ed707ff698300007d,http://www.daao.org.au/bio/john-corbett,john-corbett
5591f256d707ff34fe00002b,http://www.daao.org.au/bio/catherine-pilgrim,catherine-pilgrim
4da19a55b538b73d930106fa,http://www.daao.org.au/bio/mitty-lee-brown,mitty-lee-brown
4da19910b538b73d9300e9e8,http://www.daao.org.au/bio/toby-jangala,toby-jangala
4da1a87bb538b73d9301abfb,http://www.daao.org.au/bio/cameron-tjapaltjarri,cameron-tjapaltjarri
4e5204abd707ff1dc700181e,http://www.daao.org.au/bio/ross-crothall,ross-crothall
4da19cb7b538b73d93013bf4,http://www.daao.org.au/bio/arthur-james-murch,arthur-james-murch
4da19bc1b538b73d93012540,http://www.daao.org.au/bio/neil-matterson,neil-matterson
4da195cdb538b73d93005ca1,http://www.daao.org.au/bio/barbara-campbell,barbara-campbell
4da19a03b538b73d9300ff9a,http://www.daao.org.au/bio/maria-kozic,maria-kozic
4da19c36b538b73d9301302e,http://www.daao.org.au/bio/emile-mercier,emile-mercier
4da1e203b538b73d93029d94,http://www.daao.org.au/bio/destiny-deacon,destiny-deacon
4da19a25b538b73d930101b5,http://www.daao.org.au/bio/rosemary-laing,rosemary-laing
4e9e7042d707ff2d7b000000,http://www.daao.org.au/bio/belinda-ann-allen,belinda-ann-allen
50b2b686d707ff055200000f,http://www.daao.org.au/bio/alison-mcmaugh,alison-mcmaugh
4e1ec9d972edc21f2f0001cd,http://www.daao.org.au/bio/clement-meadmore,clement-meadmore
4da1984ab538b73d9300d1be,http://www.daao.org.au/bio/alana-harris,alana-harris
4da1d3c9b538b73d93028085,http://www.daao.org.au/bio/rae-bolotin,rae-bolotin
4da1b5f9b538b73d9301fc93,http://www.daao.org.au/bio/william-royal,william-royal
4da1a127b538b73d930173bf,http://www.daao.org.au/bio/victoria-roberts,victoria-roberts
4da1afbcb538b73d9301d94d,http://www.daao.org.au/bio/ivor-hele,ivor-hele
4da19729b538b73d9300a404,http://www.daao.org.au/bio/peter-william-ellis,peter-william-ellis
4da19f0eb538b73d93015d0f,http://www.daao.org.au/bio/bruce-leslie-petty,bruce-leslie-petty
4da198d3b538b73d9300e20e,http://www.daao.org.au/bio/mollie-horseman,mollie-horseman
509c90c8d707ff704a000013,http://www.daao.org.au/bio/john-caldwell,john-caldwell
4da1b0c1b538b73d9301dd49,http://www.daao.org.au/bio/roma-nyutjangka-butler,roma-nyutjangka-butler
4da1e25db538b73d93029ea4,http://www.daao.org.au/bio/russell-rodrigo,russell-rodrigo
4da1c649b538b73d93025a08,http://www.daao.org.au/bio/les-evans,les-evans
4ed4699dd707ff4ff0000000,http://www.daao.org.au/bio/sydney-ball-1,sydney-ball-1
4ed4699dd707ff4ff0000000,http://www.daao.org.au/bio/sydney-ball,sydney-ball
4da19599b538b73d93004c4f,http://www.daao.org.au/bio/jimmy-tjampitjinpa-brown,jimmy-tjampitjinpa-brown
4da1b962b538b73d93021b69,http://www.daao.org.au/bio/rick-wood,rick-wood
4da198d1b538b73d9300e1c7,http://www.daao.org.au/bio/arthur-wakefield-horner,arthur-wakefield-horner
4da19577b538b73d93003fb4,http://www.daao.org.au/bio/euphemia-bostock,euphemia-bostock
4e6838fed707ff5c63000000,http://www.daao.org.au/bio/george-willoughby-herbert-aubrery-crowe,george-willoughby-herbert-aubrery-crowe
513fe016d707ff6bcd001e0c,http://www.daao.org.au/bio/geoff-parr-1,geoff-parr-1
515826b6d707ff422f0011b0,http://www.daao.org.au/bio/harold-andrew-englund,harold-andrew-englund
51284cb5d707ff112a000000,http://www.daao.org.au/bio/john-brackenreg,john-brackenreg
4da19af6b538b73d930115ea,http://www.daao.org.au/bio/mark-lynch,mark-lynch
4da199bab538b73d9300f991,http://www.daao.org.au/bio/peter-kingston,peter-kingston
4da1a01bb538b73d930168c5,http://www.daao.org.au/bio/betty-quelhurst,betty-quelhurst
4da19f74b538b73d930160b3,http://www.daao.org.au/bio/lloyd-piper,lloyd-piper
4da19af5b538b73d930115d7,http://www.daao.org.au/bio/johnny-tjapanangka-lynch,johnny-tjapanangka-lynch
4da1aea3b538b73d9301cf1a,http://www.daao.org.au/bio/alan-tjakamarra-winderoo,alan-tjakamarra-winderoo
4da1b640b538b73d9302000d,http://www.daao.org.au/bio/lola-greeno,lola-greeno
4eda1606d707ff0771000000,http://www.daao.org.au/bio/ron-robertson-swann,ron-robertson-swann
4da1a3d5b538b73d930191be,http://www.daao.org.au/bio/jake-soewardie,jake-soewardie
4da1afeab538b73d9301dc35,http://www.daao.org.au/bio/christopher-gentle,christopher-gentle
4da19783b538b73d9300b157,http://www.daao.org.au/bio/annie-franklin,annie-franklin
4da194f6b538b73d93000610,http://www.daao.org.au/bio/anita-aarons,anita-aarons
6049ccd0d707ff0e51000045,http://www.daao.org.au/bio/silas-clifford-smith,silas-clifford-smith
4da196ddb538b73d930095a5,http://www.daao.org.au/bio/minnie-napanangka-dixon,minnie-napanangka-dixon
4da1988bb538b73d9300d9c4,http://www.daao.org.au/bio/noela-jane-hjorth,noela-jane-hjorth
4da19626b538b73d93007461,http://www.daao.org.au/bio/richard-clements,richard-clements
4da195cfb538b73d93005cf0,http://www.daao.org.au/bio/gordon-tjapanangka-campbell,gordon-tjapanangka-campbell
4da19723b538b73d9300a34a,http://www.daao.org.au/bio/rebecca-nampijinpa-egan,rebecca-nampijinpa-egan
4da1b1feb538b73d9301e34d,http://www.daao.org.au/bio/joy-engelman,joy-engelman
4da1ce89b538b73d93027617,http://www.daao.org.au/bio/arleen-textaqueen,arleen-textaqueen
4e8e888dd707ff2224000024,http://www.daao.org.au/bio/michael-mcwilliam,michael-mcwilliam
4da19f20b538b73d93015d7f,http://www.daao.org.au/bio/kathleen-petyarre,kathleen-petyarre
4da19f20b538b73d93015d7f,http://www.daao.org.au/bio/kathleen-petyarre-1,kathleen-petyarre-1
4da1e5d5b538b73d9302a37d,http://www.daao.org.au/bio/frank-marjason,frank-marjason
4da1952db538b73d93002388,http://www.daao.org.au/bio/normand-henry-baker,normand-henry-baker
4da196beb538b73d9300905c,http://www.daao.org.au/bio/janet-dawson,janet-dawson
4da19cd2b538b73d93013e2f,http://www.daao.org.au/bio/likirriya-napaljarri,likirriya-napaljarri
4da19517b538b73d930018b8,http://www.daao.org.au/bio/edd-aragon,edd-aragon
4da19820b538b73d9300cc74,http://www.daao.org.au/bio/paul-haefliger,paul-haefliger
4da1a446b538b73d93019583,http://www.daao.org.au/bio/wendy-stavrianos,wendy-stavrianos
4da1be6bb538b73d9302450f,http://www.daao.org.au/bio/rosella-namok,rosella-namok
4da19945b538b73d9300ef6e,http://www.daao.org.au/bio/garry-jones,garry-jones
514e67d8d707ff2ede001de0,http://www.daao.org.au/bio/ruby-davies,ruby-davies
4da19d38b538b73d9301438f,http://www.daao.org.au/bio/nicole-newley,nicole-newley
4da198e8b538b73d9300e4d1,http://www.daao.org.au/bio/isabel-huntley,isabel-huntley
4e7aa0c5d707ff49e9000021,http://www.daao.org.au/bio/sam-doctor,sam-doctor
4da19beab538b73d93012972,http://www.daao.org.au/bio/herbert-mcclintock,herbert-mcclintock
4da19dacb538b73d93014b29,http://www.daao.org.au/bio/jiri-tibor-novak,jiri-tibor-novak
4da19c6fb538b73d930135f6,http://www.daao.org.au/bio/richard-tjangala-minor,richard-tjangala-minor
4da19abdb538b73d930110f4,http://www.daao.org.au/bio/vivien-littlejohn,vivien-littlejohn
4ed60fd6d707ff648f000001,http://www.daao.org.au/bio/harald-noritis,harald-noritis
4da1bb5eb538b73d93022abe,http://www.daao.org.au/bio/adrian-hill,adrian-hill
4da19945b538b73d9300ef57,http://www.daao.org.au/bio/freddie-kngwarreye-jones,freddie-kngwarreye-jones
4da1bd1eb538b73d93023d6c,http://www.daao.org.au/bio/bill-onus,bill-onus
4da19550b538b73d930031b3,http://www.daao.org.au/bio/michael-bell,michael-bell
4da197ebb538b73d9300c52b,http://www.daao.org.au/bio/david-grant,david-grant
4da19d86b538b73d930148b2,http://www.daao.org.au/bio/dinny-tjampitjinpa-nolan,dinny-tjampitjinpa-nolan
4da1a19fb538b73d9301790e,http://www.daao.org.au/bio/joyce-roseby,joyce-roseby
4da1b2f8b538b73d9301e955,http://www.daao.org.au/bio/zehra-ahmed,zehra-ahmed
4da19c5ab538b73d93013398,http://www.daao.org.au/bio/sydney-leon-miller,sydney-leon-miller
4da198cdb538b73d9300e15d,http://www.daao.org.au/bio/larry-yaroslav-horak,larry-yaroslav-horak
4da19c9eb538b73d93013951,http://www.daao.org.au/bio/verdon-langford-morcom,verdon-langford-morcom
4da1b8deb538b73d93021958,http://www.daao.org.au/bio/frances-fussell,frances-fussell
51582b3cd707ff422f0015eb,http://www.daao.org.au/bio/margaret-burgess-sheen,margaret-burgess-sheen
4da1a014b538b73d93016817,http://www.daao.org.au/bio/louis-pwerle,louis-pwerle
58ba9d57d707ff1051000002,http://www.daao.org.au/bio/ian-wilding,ian-wilding
4da1dc7ab538b73d93028c4a,http://www.daao.org.au/bio/matthew-peet,matthew-peet
5a0e66a5d707ff0f9300002c,http://www.daao.org.au/bio/belinda-kuriniya,belinda-kuriniya
4da19e3cb538b73d9301525f,http://www.daao.org.au/bio/dick-tjupurrula-pantimas,dick-tjupurrula-pantimas
4e520c73d707ff1dc7006177,http://www.daao.org.au/bio/jeffrey-makin,jeffrey-makin
4da19b76b538b73d93011f0c,http://www.daao.org.au/bio/gillian-mann,gillian-mann
4da1b7e5b538b73d93020d07,http://www.daao.org.au/bio/stelarc,stelarc
4da1aa3eb538b73d9301b7c6,http://www.daao.org.au/bio/angela-valamanesh,angela-valamanesh
4da1b514b538b73d9301f29a,http://www.daao.org.au/bio/michael-doolan,michael-doolan
5158286fd707ff422f00135c,http://www.daao.org.au/bio/oreo-jean-macbean,oreo-jean-macbean
4fe457a5d707ff7e9e000024,http://www.daao.org.au/bio/janet-mansfield,janet-mansfield
4da19534b538b73d9300275c,http://www.daao.org.au/bio/pat-barblett,pat-barblett
4da1b4feb538b73d9301f0f0,http://www.daao.org.au/bio/jeff-martin,jeff-martin
4da19667b538b73d930081f5,http://www.daao.org.au/bio/lionel-ernest-coventry,lionel-ernest-coventry
4da1d518b538b73d9302822f,http://www.daao.org.au/bio/merran-esson,merran-esson
4da1b1feb538b73d9301e337,http://www.daao.org.au/bio/marjory-clark,marjory-clark
4da196c5b538b73d930091dc,http://www.daao.org.au/bio/timothy-tjungurrayi-dempsey,timothy-tjungurrayi-dempsey
4da195fcb538b73d93006961,http://www.daao.org.au/bio/vic-chapman,vic-chapman
4da1973ab538b73d9300a744,http://www.daao.org.au/bio/erwin-fabian,erwin-fabian
4e5215c2d707ff1dc700994e,http://www.daao.org.au/bio/olegas-truchanas,olegas-truchanas
